Title,Date,Import,Export
Basic and semi-finished products of aluminum and aluminum alloys,March 2025,297.5,185.4
Basic and semi-finished products of aluminum and aluminum alloys,April 2025,278.3,182.3
Basic and semi-finished products of aluminum and aluminum alloys,May 2025,247.7,151.3
Basic and semi-finished products of aluminum and aluminum alloys,June 2025,294.1,148
Basic and semi-finished products of aluminum and aluminum alloys,July 2025,277.4,144.3
Basic and semi-finished products of aluminum and aluminum alloys,August 2025,268.4,158.6
Lumber and other sawmill products,January 2024,247.1,1310.4
Lumber and other sawmill products,February 2024,258.1,1317.1
Lumber and other sawmill products,March 2024,251.2,1261.3
Lumber and other sawmill products,April 2024,242,1239.7
Lumber and other sawmill products,May 2024,231.7,1220.5
Lumber and other sawmill products,June 2024,241,1211.5
Lumber and other sawmill products,July 2024,231.7,1208.5
Lumber and other sawmill products,August 2024,241,1154.5
Lumber and other sawmill products,September 2024,240.4,1200.8
Lumber and other sawmill products,October 2024,241,1259.1
Lumber and other sawmill products,November 2024,243.4,1345.4
Lumber and other sawmill products,December 2024,253.1,1394.5
Lumber and other sawmill products,January 2025,274.9,1584.7
Lumber and other sawmill products,February 2025,268.8,1267.2
Lumber and other sawmill products,March 2025,188.8,1327.4
Lumber and other sawmill products,April 2025,202.4,1120
Lumber and other sawmill products,May 2025,240,1093.3
Lumber and other sawmill products,June 2025,220.7,1072
Lumber and other sawmill products,July 2025,217.4,1277
Lumber and other sawmill products,August 2025,219.5,952.8
Medium and heavy trucks, buses, and other motor vehicles,January 2024,1547.7,457.2
Medium and heavy trucks, buses, and other motor vehicles,February 2024,1607.6,497.5
Medium and heavy trucks, buses, and other motor vehicles,March 2024,1475.8,497.3
Medium and heavy trucks, buses, and other motor vehicles,April 2024,1489,508.3
Medium and heavy trucks, buses, and other motor vehicles,May 2024,1413,449.7
Medium and heavy trucks, buses, and other motor vehicles,June 2024,1403.5,522.3
Medium and heavy trucks, buses, and other motor vehicles,July 2024,1431.3,572.4
Medium and heavy trucks, buses, and other motor vehicles,August 2024,1449.5,552.3
Medium and heavy trucks, buses, and other motor vehicles,September 2024,1528.9,568.2
Medium and heavy trucks, buses, and other motor vehicles,October 2024,1435.5,538
Medium and heavy trucks, buses, and other motor vehicles,November 2024,1618.1,536
Medium and heavy trucks, buses, and other motor vehicles,December 2024,1528.4,545.2
Medium and heavy trucks, buses, and other motor vehicles,January 2025,1510.9,640.2
Medium and heavy trucks, buses, and other motor vehicles,February 2025,1648.8,622.2
Medium and heavy trucks, buses, and other motor vehicles,March 2025,1787.1,622.9
Medium and heavy trucks, buses, and other motor vehicles,April 2025,1193.7,469.6
