Egypt,424278409,328334488,288282303,441695579,739444319,709669145,621921629,471020429,387141806,452355694
New Zealand,461375443,454709149,488079212,528565414,492002917,373951505,432340080,643397407,448042103,438050691
Argentina,301582130,301794088,440978851,322662942,283653775,239101229,352814444,321411911,395155603,417922416
Austria,294246305,195191110,323079141,232428476,248547957,181494418,351225883,267879381,419662598,415612370
Romania,83752646,91841494,141791640,189472046,100464238,153769675,149984567,93847304,169194814,393988644
Iran,98487244,135217273,131239102,94095025,327354687,412968088,404083506,364278331,456705203,388200035
"Bonaire, Sint Eustatius and Saba",2038575,263329,274092,102570020,544240,78760522,168057048,201182688,461223192,384275792
Ghana,209854799,244376707,235489929,231101493,249935443,274249278,364715811,286605615,272641872,306457329
Pakistan,689781716,1077144007,742475550,606467718,669996396,667082657,656723011,595675416,224578032,299286548
Bulgaria,85812787,330319075,363876319,228542382,246670423,244014402,181568616,115618300,218135624,293028151
Costa Rica,160802923,143041044,157947822,163435307,144690663,158944699,185548761,273204042,320331582,289965475
Czech Republic,194643746,172930088,193375555,275242707,307004446,217385956,227298144,235450397,223688841,287051156
Cuba,491570024,408398361,403652457,426359070,377932699,264646976,282473988,266996958,299674483,275696393
Dominican Republic,169697219,145935933,160717488,215184650,216810333,250049592,284364851,353786440,293383459,275634412
Botswana,708041782,448353574,578210216,772987900,578036051,337402483,268553771,366356753,339873009,272432820
Bahamas,72383580,120356524,217740469,398533296,260096994,150249905,356112661,255585565,283346818,266365437
Venezuela,633789972,252139046,196673271,87799336,54411797,72557757,167415114,181948831,268733706,255811976
Malta,968801114,720831262,195500256,109845037,99321550,272968902,659884856,1096826454,142139401,218756365
Trinidad and Tobago,299690246,210256502,297651078,342254358,260125669,208221049,302889808,296033811,270287988,209292926
Latvia,29181014,224037915,514831717,733622000,451797718,158590773,357933208,401040493,422386277,206753698
Bahrain,43646300,32393265,102452468,297586252,215483186,134046447,217286761,218272156,260549605,192324558
El Salvador,57978546,59146632,55008948,47920252,50902227,52454888,101028372,115935214,149443930,161703389
Jordan,86685610,80710974,73372959,69689455,88598277,82073753,59119787,74721994,115925914,159874893
Greece,111263428,81106169,95070941,101249841,123860917,118169729,142034600,133246125,171339792,152937760
Croatia,50813602,20803868,44584366,157794402,34473184,29875591,30787582,71395350,54630549,144822574
Qatar,177205773,161857794,154061157,155935646,260857998,107557655,126207146,256809127,221017074,143385513
Kazakhstan,116961950,80345925,140692286,109666041,153573936,75869406,87790195,123711286,136548124,142998274
Kuwait,167719846,164973646,166309239,200623504,138749488,96516822,112379219,188675585,139367962,130440464
Bermuda,41761926,73645705,50597522,47856989,45547474,70370053,86604728,96676004,71854320,129338905
Jamaica,88964106,94401763,95329810,100407777,104672245,99692596,120372726,138754241,144449574,128414835
Sri Lanka,314314603,271532887,206371309,252407926,209088702,236345999,129161229,106026791,133117033,124647534
