"Title","Canadian imports"
"Products","I - live animals and animal productS"
"","II - VEGETABLE PRODUCTS"
"","III - FATS, OILS, THEIR CLEAVAGE PRODUCTS AND WAXES"
"","IV - FOOD PRODUCTS, BEVERAGES, SPIRITS, VINEGAR AND TOBACCO PRODUCTS"
"","V - MINERAL PRODUCTS"
"","VI - PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES"
"","VII - PLASTICS, RUBBER AND ARTICLES MADE FROM THESE MATERIALS"
"","VIII - RAW HIDES, SKINS, LEATHER, FUR AND ARTICLES MADE FROM THESE MATERIALS"
"","IX - WOOD AND WOOD ARTICLES, CORK, STRAW AND OTHER PLAITING MATERIALS"
"","X - WOOD PULP, PAPER AND PAPER ARTICLES"
"","XI - TEXTILES AND TEXTILE ARTICLES"
"","XII - FOOTWEAR, HEADWEAR, UMBRELLAS, CANES AND SIMILAR ACCESSORIES"
"","XIII - GLASS, GLASSWARE;  ARTICLES OF CERAMICS, STONE AND SIMILAR MATERIALS"
"","XIV - PEARLS, PRECIOUS METALS OR STONES, COINS AND JEWELLERY"
"","XV - BASE METALS AND ARTICLES OF BASE METAL"
"","XVI - MACHINERY;  MECHANICAL,  ELECTRICAL AND ELECTRONIC APPLIANCES OR EQUIPMENT"
"","XVII - VEHICLES, AIRCRAFT, VESSELS AND OTHER TRANSPORTATION EQUIPMENT"
"","XVIII - CLOCKS, WATCHES AND SPECIALIZED INSTRUMENTATION"
"","XIX - ARMS AND AMMUNITION"
"","XX - MISCELLANEOUS MANUFACTURED ARTICLES"
"","XXI - WORKS OF ART, COLLECTOR'S PIECES AND ANTIQUES"
"","HS 98 - Special classification provisions - non commercial"
"","HS 99 - Special classification provisions - commercial"
"Origin","All countries (detailed)"
"Destination","Canada"
"Period","Latest 10 years"
"Units","Value in  canadian dollars"

"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Singapore","910973686","939975627","967332686","1235880542","1180016356","1163329563","1000067586","1301821146","1339054422","1429496599"
"Ecuador","316881230","271699367","211408255","213808945","221772504","242592861","379705081","680142771","699406028","1352596501"
"Israel","1182450928","1276874770","1277596124","1392250587","1311258990","1237209720","1305977928","1534938012","1426079215","1343201428"
"Colombia","828865102","786711015","982102286","1038334814","829649439","847678740","1301750914","1877802893","1382843285","1341781345"
"Hungary","611658524","604339069","752273953","777121519","921289364","847157062","837255678","863404534","1024240896","1203142039"
"New Zealand","682551262","662504227","709546957","746732009","784539104","815374326","768968068","920596098","1000346628","1127430220"
"Czech Republic","573618973","542715865","625703357","772320628","817846913","684500748","850280244","969798407","999179251","1096201601"
"Slovakia","384718715","519308893","603885879","782209603","724926363","660855139","785607045","944220658","1084233292","1047803705"
"Morocco","410871116","362656948","343576317","360588072","444939869","389937652","639698690","679509423","779853915","1002298618"
"Mauritania","223387","549773","531493","322795","157796","776254632","422657426","766560201","796220262","999825432"
"Norway","1693591607","1574792924","2114433922","2222484413","1512627028","1176365495","970038627","1073221833","771233362","888147910"
"Guatemala","625987753","812208368","718361784","609896824","665666396","661896512","648495866","807059894","802522689","862076029"
"Nicaragua","139278177","124458566","126810847","124932261","148485045","125457079","131088696","182199998","672418591","846539823"
"Côte-d'Ivoire","303650281","423345489","320199749","456988320","546626513","337836609","303774503","364829125","425670100","788399683"
"United Arab Emirates","141371122","127485307","181451722","202614450","209642955","250383566","549839671","747298994","805587795","779769229"
"Costa Rica","503049667","508470627","515706995","529326104","586657708","568820197","595015069","640260628","719955142","741485164"
"Pakistan","350760243","363023169","408804487","434134803","448603774","437786767","542042983","727639878","617653730","633229897"
"Romania","320630888","523604625","538731809","506357296","466758520","429572024","658970883","776362238","757857555","624395880"
"Honduras","336830270","351464769","383415244","389719296","462666389","384888837","439303182","501132346","564298026","575982231"
"Sri Lanka","333833166","348774442","370976582","377839928","427397449","373482436","469307877","569326360","505315850","544620760"
"Dominican Republic","1021818660","1166675700","1225853566","1006958594","651895179","671398353","253559704","334548241","310282083","521308200"
"Greece","220542448","228249867","233131248","259938052","273588560","301768725","340449777","371404916","402774138","476226884"
"Slovenia","143648328","167289595","173375303","191532509","211739929","236718510","220364914","268861886","295571199","393642844"
"Bulgaria","128807008","139864138","138272920","184351481","198637661","317575758","194782988","248766794","311320727","389520276"
"Trinidad and Tobago","349760325","190015567","177942316","338359822","274330542","307892334","355774172","309411278","190296818","343395839"
"Tunisia","85256827","91064559","99422335","125194062","141545032","151940005","171738750","222075024","242121266","343385656"
"Kazakhstan","522545938","693998018","481119725","408290012","464237420","401075173","911876030","1171675162","612856627","328842975"
"Egypt","741086531","1032925842","990952578","911454141","1052441371","1274653336","1281071558","1334483586","856084093","325768515"
"Bolivia","191034893","202558511","274357433","320623778","259861836","256390752","366110840","329183378","250586700","294691156"
"Ukraine","67544346","107602721","112273798","125979149","146075615","142741216","224299860","270016750","170821495","294220371"
"Guyana","271554930","666963409","661484513","573919594","505662794","417654586","199594294","241373022","213542516","274341560"
"Hong Kong","319663305","286612949","384185215","337734589","320399572","566822869","423717812","434425171","382671413","271506269"
"Lithuania","235318914","381758787","223719637","210605203","264722209","208792995","333328346","399848234","265235093","248306033"
"Congo (formerly Zaire)","71203127","28942253","40564739","107885319","118657670","150216805","255563973","96388666","167173564","228440527"
"Croatia","53598877","56287492","51716273","110982649","70478880","130703935","92399056","95629027","102047550","219858253"
"Algeria","950606747","1856285213","829007894","269631278","54252828","41673123","57456826","286162575","225423831","205595852"
"Luxembourg","184553718","155547410","154311230","163353151","164937751","171611775","211446070","163157854","190530633","170552897"
"Estonia","107407183","168319373","85913099","222376328","123370491","115371178","182876359","157904948","147587447","169655722"
"Qatar","49374468","36232369","17074119","88955946","62990511","82675814","125627299","224098020","199693552","166110701"
"Ghana","49798406","67225833","67219551","77178066","100630419","104882043","102588194","93344136","99830844","166099201"
"Jordan","77219035","91513398","101249519","108885487","139785256","101218501","121194649","169246504","210109661","165665243"
"Iceland","98033893","80534270","97017781","135138900","150304460","82182406","111554288","120198974","156414898","160724126"
"Madagascar","79892508","78048710","99804379","131666283","124903240","118020524","193460217","170808733","175021911","158440322"
"Myanmar (Burma)","27471556","82319599","121530116","131205717","182906956","175169421","138003775","213673248","168740185","138024621"
"Jamaica","242571674","202382512","168249504","141808930","113569835","85149447","70014322","61094259","66899044","131744463"
"El Salvador","108808639","67405212","106138449","79388551","138098594","77603365","79220672","156043144","204737600","124090703"
"Serbia","78871556","64005876","71089630","63788239","67314900","77844158","112179871","103107272","146525536","113990665"
"Uruguay","92843570","94391888","78302904","64301509","65220082","117303196","81750956","81704227","91398828","111844065"
"Zambia (Zambi)","2913012","1249201","2496910","1325762","58768175","107302105","137188326","549628013","271712217","99968388"
"Oman (formerly Muscat and Oman)","51722689","31369583","39020136","45501510","44250857","48073011","70803677","141204167","111179272","90383069"
"Bahrain","43361472","32643428","13515021","36712774","30385065","30457684","57752082","118797478","81766647","89660930"
"Latvia","43559319","36568390","43838974","49184805","46823162","60945717","95761925","82058585","111377876","84540008"
"Russia","1036824329","935564894","1116355235","1488800772","1861016816","1195238309","2141279415","759924865","70078965","83383187"
"Namibia","127734196","61163614","94209015","24028874","113522229","136839923","48768140","132007919","160567972","83293232"
"Kuwait","15640426","14655989","9958739","39111993","321828","275869","15214193","395045792","417379622","81333730"
"Guinea","58617562","51111365","62510435","42865457","49083785","61246727","78651185","69739790","80677290","64588446"
"Ethiopia","24437722","33263156","33210271","39866868","43642479","47086012","51417288","67305811","69829638","64137895"
"Lebanon","28023878","28353047","31487888","33176727","37133563","38922685","42827120","48104235","49740666","63566750"
"Haiti","38488764","38218732","42725571","65039375","120811300","73301916","72191088","66599700","49183735","52782532"
"Iran","26959607","46536784","88479679","121038768","29709057","34054342","34922535","34610217","36313930","52443131"
"New Caledonia","654559","349464","1810015","2064986","587439","356000","802009","1087432","32694295","52242023"
"Suriname","127095364","10464407","12027501","11929024","20421520","16677743","9696532","15611390","19606972","52030643"
"Kenya","30823534","32290282","34537307","33094904","36020528","29100545","44864685","40720104","46372979","50601909"
"Malta","56028286","46151914","43415314","35913758","34387860","33156092","37759991","36738857","44704576","49775150"
"Georgia","100655542","61175944","39845619","10311050","13587346","21726772","26490429","19047384","35394434","39088552"
"Paraguay","12723702","14620268","11769837","15017653","14623549","10457727","13063609","28070981","17758863","37945518"
"Bosnia and Herzegovina","22155573","24776431","22222516","20565234","16219346","12815351","30226456","36444046","34125860","32815379"
"Laos","23753391","25614559","31348493","65294582","47577533","30254882","33943194","39594041","34288783","31895567"
"Moldova","9910196","10320296","13235041","16235562","15903978","15942825","20411238","22378887","23569719","31865226"
"Venezuela","107215719","16612205","17917167","21640644","19390514","13083442","14549566","15282027","22624428","31025738"
